id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
215088,,INEOS NITRILES USA LLC,,1900 Fort Amanda Road,Lima,OH,45804,325199, Acrylonitrile manufacturing ,148,209335.0,2,0,0,0,0,0,0,0,0,0,0,0,0,59542,1.0,2,2017,1/3/2018 5:04:36,
215197,,SI Group Inc. - Newport,,380 Chemowood Drive,Newport,TN,37821,325199," Plasticizers (i.e., basic synthetic chemicals) manufacturing ",34,68431.0,2,0,0,0,0,0,0,0,0,0,0,0,0,59497,1.0,2,2017,1/3/2018 11:52:37,
215315,Lanxess Corporation,Lanxess GSO,,520 Broome R.d.,Greensboro,NC,27406,325199," Carbon organic compounds, not specified elsewhere by process, manufacturing ",55,110300.0,2,0,0,0,0,0,0,0,0,0,0,0,0,53700,1.0,2,2017,1/3/2018 15:05:57,
215428,AmericanAcryl,AmericanAcryl,,4631 Old Hwy 146,Pasadena,TX,77507,325199," Acids, organic, not specified elsewhere by process, manufacturing ",67,149879.0,2,0,0,0,0,0,0,0,0,0,0,0,0,192418,1.0,2,2017,1/4/2018 9:43:33,
215647,"Elementis Specialties, LLC","Elementis Specialties, Jersey City Plant - CLOSED",,400 Claremont Ave ,Jersey City,NJ,7304,325199, Organo-inorganic compound manufacturing ,20,22298.0,1,0,0,2,0,0,43,2,0,0,0,0,0,51811,1.0,2,2017,1/4/2018 15:43:15,
215859,Honeywell ,HoneywellLA26,,1200 Airline Highway,Baton Rouge,LA,70805,325180, Sulfur dioxide manufacturing ,60,126834.0,1,0,0,1,0,0,36,1,0,0,0,0,0,72994,1.0,2,2017,1/5/2018 12:19:42,
216017,"Peach State Labs, LLC","Peach State Labs, LLC North",,1202 Dozier Street,Dalton,GA,30721,325199, Organo-inorganic compound manufacturing ,20,32050.0,1,0,0,1,0,0,38,1,0,0,0,0,0,134609,1.0,2,2017,1/8/2018 8:21:25,
216020,"Peach State Labs, LLC","Peach State Labs, LLC",,180 Burlington Road NE,Rome,GA,30161,325199, Organo-inorganic compound manufacturing ,35,111719.0,2,0,0,0,0,0,0,0,0,0,0,0,0,134576,1.0,2,2017,1/8/2018 8:26:12,
216191,AkzoNobel,AkzoNobel Augusta Plant,,1616 Marvin Griffin Road,Augusta,GA,30906,325180," Sodium silicate (i.e., water glass) manufacturing ",37,76399.0,2,0,0,0,0,0,0,0,0,0,0,0,0,103139,1.0,2,2017,1/8/2018 12:45:42,
216623,U. S. Amines LLC,U.S. Amines (Bucks) LLC,,14086 U.S Highway 43 North,Axis,AL,36505,325199, Methylamine manufacturing ,41,87205.0,2,0,0,0,0,0,0,0,0,0,0,0,0,98730,1.0,2,2017,1/9/2018 11:07:49,
216748,Waters Corporation,Waters Taunton,,177 Robert Treat Paine Drive,Taunton,MA,2780,325180," Silica, amorphous, manufacturing ",96,207655.0,1,0,1,1,1,55,7,3,0,0,0,0,0,60507,1.0,2,2017,1/9/2018 14:00:27,
216792,Laurel Valley Farms,Laurel Valley Farms,,705 Penn Green Rd,Landenberg,PA,19350,325314, Compost manufacturing ,63,175692.0,1,0,2,1,7,36,58,9,0,1,0,0,0,139350,1.0,2,2017,1/9/2018 14:48:19,Incorrect calculation of days away from work and recordable injuries.
217051,Timac Agro USA,Reading,,PO Box 888,Reading,PA,19607,325311," Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials ",160,324740.0,1,0,2,1,1,111,86,4,0,0,0,0,0,84565,1.0,2,2017,1/10/2018 10:32:20,
217351,Arkema Inc.,Arkema Inc. Houston Plant,,2231 Haden Road,Houston,TX,77015,325199, Organo-inorganic compound manufacturing ,65,154170.0,2,0,0,0,0,0,0,0,0,0,0,0,0,64422,1.0,2,2017,1/11/2018 7:28:10,
