id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
42,AB Specialty Silicones,AB Specialty Silicones,,3790 Sunset Ave,Waukegan,IL,60087,325199,Silicone (except resins) manufacturing,47,99202.0,1,0,1,0,0,94,150,1,0,0,0,0,0,41981,1.0,2,2016,8/1/2017 7:54:00,
137,"Reaxis, Inc",Reaxis McDonald,,941 Robinson Highway,McDonald,PA,15057,325180,"Tin compounds, not specified elsewhere by process, manufacturing",44,86555.0,1,0,1,0,0,34,0,1,0,0,0,0,0,42117,1.0,2,2016,8/1/2017 9:18:00,
316,The Elco Corporation,Cleveland,,1000 Belt Line Street,Celveland,OH,44109,325180,"Sulfur and sulfur compounds, not specified elsewhere by process, manufacturing",40,78360.0,2,0,0,0,0,0,0,0,0,0,0,0,0,42315,1.0,2,2016,8/1/2017 10:13:00,
325,Detrex,Ashtabula,,1100 State Road,Ashtabula,OH,44004,325180,"Zinc compounds, not specified elsewhere by process, manufacturing",24,50860.0,2,0,0,0,0,0,0,0,0,0,0,0,0,42332,1.0,2,2016,8/1/2017 10:19:00,
476,St. Louis Composting,Valley Park Facility,,39 Old Elam Avenue,Valley Park,MO,63088,325314,Compost manufacturing,28,78646.0,2,0,0,0,0,0,0,0,0,0,0,0,0,42530,1.0,2,2016,8/1/2017 11:36:00,
673,Crop Production Service Inc,71290,,56908 Hwy 8,Fairbury,NE,68352,325314,,25,38641.0,1,0,0,0,1,0,0,1,0,0,0,0,0,42775,,2,2016,8/1/2017 12:40:00,
914,Evonik jayhawk fine chemicals corp,Evonik jayhawk fine chemicals corp.,,8545 se Jayhawk drive,Galena,KS,66739,325199,"Carbon organic compounds, not specified elsewhere by process, manufacturing",114,240160.0,1,0,0,2,0,0,21,2,0,0,0,0,0,43089,1.0,2,2016,8/1/2017 14:22:00,
1440,Hardy Industrial Technologies,Hardy Industrial Technologies,,679 Hardy Road,Painesville Township,OH,44077,325199,"Fatty acids (e.g., margaric, oleic, stearic) manufacturing",77,137037.0,2,0,0,0,0,0,0,0,0,0,0,0,0,43870,1.0,2,2016,8/2/2017 11:00:00,
1644,"Innospec, Inc.","Innospec Active Chemicals, High Point",,510 West Grimes Ave.,High Point,NC,27260,325199,"Esters, not specified elsewhere by process, manufacturing",56,111719.0,1,0,0,2,1,0,4,3,0,0,0,0,0,42617,1.0,2,2016,8/2/2017 13:50:00,
1865,PMC Organometallix,PMC Organometallix Carrollton Plant,,2316 Highland Avenue,Carrollton,KY,41008,325180,Stannic and stannous chloride manufacturing,165,323928.0,1,0,2,0,2,37,43,4,0,0,0,0,0,44432,1.0,2,2016,8/3/2017 6:32:00,
1915,Centrus Energy Corp,Centrus Energy - American Centrifuge,,3930 US Route 23,Piketon,OH,45661,325180,"Uranium, enriched, manufacturing",161,292850.0,2,0,0,0,0,0,0,0,0,0,0,0,0,44503,1.0,2,2016,8/3/2017 8:30:00,
