id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1754049,Honeywell,HoneywellLA26,222640650.0,1200 Airline Highway,Baton Rouge,LA,70805,325180,Sulfur dioxide manufacturing,55,128712.0,1,0,0,0,1,0,0,1,0,0,0,0,0,72994,1.0,2,2022,1/3/2023,
1754160,International Isotopes Inc.,International Isotopes Inc.,742763837.0,4137 Commerce Circle,Idaho Falls,ID,83401,325180,Radioactive isotopes manufacturing,32,52889.0,1,0,0,0,1,0,0,1,0,0,0,0,0,660701,1.0,2,2022,1/3/2023,
1754341,Atlas Peat & Soil,"Atlas Peat & Soil, Superior Mulch, Yard Improvements",650120905.0,7457 Park Lane Road,Lake Worth,FL,33449,325314,Potting soil manufacturing,180,291200.0,1,0,3,0,3,43,0,6,0,0,0,0,0,915570,1.0,2,2022,1/3/2023,
1754586,"Johnson Matthey, Inc.",Johnson Matthey,230411710.0,1246 Airport Road,Sevierville,TN,37862,325180,Sodium aluminate manufacturing,38,68832.0,2,0,0,0,0,0,0,0,0,0,0,0,0,660630,1.0,2,2022,1/4/2023,
1754600,Rainbow Fertilizer LLC,Rainbow Fertilizer LLC,871280920.0,1011 OAK AVE.,AMERICUS,GA,31709,325311,"Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials",60,86664.0,2,0,0,0,0,0,0,0,0,0,0,0,0,72999,1.0,2,2022,1/4/2023,
1754613,US Methanol LLC,US Methanol LLC- Liberty One Plant,811952040.0,1600 First Avenue South,Nitro,WV,25143,325199,"Methyl alcohol (i.e., methanol), synthetic, manufacturing",43,84280.0,1,0,0,0,1,0,0,1,0,0,0,0,0,658821,1.0,2,2022,1/4/2023,
1754803,Buckman's Inc.,Buckman's Inc.,231893537.0,105 Airport Road,Pottstown,PA,19464,325180,Sodium aluminate manufacturing,298,403963.0,1,0,11,1,4,52,41,16,0,0,0,0,0,804897,1.0,3,2022,1/4/2023,
1755084,Rensa,D-Mark Inc.,381906032.0,130 Groesbeck Hwy,Mt. Clemens,MI,48043,325199,"Carbon organic compounds, not specified elsewhere by process, manufacturing",47,103779.0,1,0,3,2,0,40,40,5,0,0,0,0,0,677735,1.0,2,2022,1/4/2023,
1755495,Chevron Phillips Chemical Company LP,Chevron Phillips Chemical Company Borger Plant,731587712.0,Spur 119 East,Borger,TX,79007,325199,Organo-inorganic compound manufacturing,220,475702.0,2,0,0,0,0,0,0,0,0,0,0,0,0,90918,1.0,2,2022,1/4/2023,
1756035,"Chemorse, Ltd","Chemorse, Ltd",421155796.0,1596 NE 58th Ave,Des Moines,IA,50313,325199,"Fatty acids (e.g., margaric, oleic, stearic) manufacturing",25,58500.0,1,0,1,0,0,2,0,0,0,1,0,0,0,248395,1.0,2,2022,1/5/2023,
