id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1426421.0,"Bruce Oakley, Inc.",Bruce Oakley Inc - North Little Rock Office,710483822.0,3400 Gribble Street,NORTH LITTLE ROCK,AR,72114.0,325314, Mixing purchased fertilizer materials ,118.0,271640.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659954.0,1.0,2.0,2021.0,1/3/2022 19:35:10,
1426426.0,"Bruce Oakley, Inc.","Bruce Oakley, Inc. - Terminal",710483822.0,3700 Lincoln Ave,NORTH LITTLE ROCK,AR,72117.0,325314, Mixing purchased fertilizer materials ,34.0,103253.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,660201.0,1.0,2.0,2021.0,1/3/2022 19:39:01,
1426429.0,"Bruce Oakley, Inc.","Bruce Oakley, Inc.- Trucking Division Shop and Wash Bay ",710483822.0,3700 Lincoln Ave,NORTH LITTLE ROCK,AR,72117.0,325314, Mixing purchased fertilizer materials ,34.0,77250.0,1.0,0.0,0.0,3.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,660244.0,1.0,2.0,2021.0,1/3/2022 19:43:48,
1426432.0,"Bruce Oakley, Inc","Oakley Fertilizer, Inc",710483822.0,312 South Fir Street,Beebe,AR,72012.0,325314, Mixing purchased fertilizer materials ,20.0,45510.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,660267.0,1.0,2.0,2021.0,1/3/2022 19:46:28,
1426435.0,"Bruce Oakley, Inc.",Oakley Pendleton Warehouse,710483822.0,322 Highway 212 East,DUMAS,AR,71639.0,325314, Mixing purchased fertilizer materials ,19.0,54324.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660273.0,1.0,2.0,2021.0,1/3/2022 19:47:52,
1426746.0,CF Industries Nitrogen LLC,Port Neal,475379579.0,1182 260th Street,Sergeant Bluff,IA,51054.0,325311," Ammonia, anhydrous and aqueous, manufacturing ",293.0,612487.0,1.0,0.0,1.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,270762.0,1.0,3.0,2021.0,1/4/2022 14:57:01,
1426858.0,EHS Manager,Perstorp Polyols Toledo,,600 MATZINGER ROAD,TOLEDO,OH,43612.0,325199, Formaldehyde manufacturing ,115.0,242247.0,1.0,0.0,4.0,0.0,0.0,136.0,180.0,1.0,0.0,0.0,0.0,0.0,3.0,562086.0,1.0,2.0,2021.0,1/4/2022 16:30:11,
1427141.0,3V Sigma USA INC,3V Sigma USA INC,510228853.0,888 Woodstock Street,Georgetown,SC,29440.0,325199, Organo-inorganic compound manufacturing ,167.0,309608.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,667263.0,1.0,2.0,2021.0,1/4/2022 19:51:41,
1427397.0,Kemira Chemicals Inc.,Kemira Chemicals Inc.,10598941.0,1 Cyanamid Rd,Mobile,AL,36610.0,325199, Organo-inorganic compound manufacturing ,80.0,155472.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545243.0,1.0,2.0,2021.0,1/4/2022 22:27:06,
1427791.0,International Isotopes Inc.,International Isotopes Inc.,742763837.0,4137 Commerce Circle,Idaho Falls,ID,83401.0,325180, Radioactive isotopes manufacturing ,33.0,62340.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660701.0,1.0,2.0,2021.0,1/5/2022 17:21:17,
