id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1158706,"PVS Chemicals, Inc.",PVS Chemical Solutions - Buffalo,311012305.0,55 Lee Street,Buffalo,NY,14210,325180,Other basic inorganic chemical manufacturing,51,113745,1,0,1,0,0,89,0,1,0,0,0,0,0,149808,1.0,2,2020,2/2/2021 14:09:24,
1158707,"PVS Chemicals, Inc.",PVS Steel Services - Burns Harbor,464572750.0,1111 N. State Road 149,Burns Harbor,IN,46304,325180,All Other Basic Inorganic Chemical Manufacturing,22,36458,2,0,0,0,0,0,0,0,0,0,0,0,0,149819,1.0,2,2020,2/2/2021 14:09:24,
1158708,"PVS Chemicals, Inc.",PVS Chemical Solutions - Chicago,311012305.0,12260 S. Carondolet Ave,Chicago,IL,60633,325180,Other basic inorganic chemical manufacturing,47,74975,1,0,0,1,1,0,127,2,0,0,0,0,0,149831,1.0,2,2020,2/2/2021 14:09:24,
1158712,"PVS Chemicals, Inc.",PVS Steel Services - Portage,464572750.0,6300 US Highway 12,Portage,IN,46368,325180,All Other Basic Inorganic Chemical Manufacturing,27,46915,2,0,0,0,0,0,0,0,0,0,0,0,0,152920,1.0,2,2020,2/2/2021 14:09:24,
1159419,ResourceMFG,Evonik Stores/ResourceMFG,463766552.0,1650 Lilly Rd ,Lafayette,IN,47909,325199," Natural nonfood coloring, manufacturing ",11,22000,2,0,0,0,0,0,0,0,0,0,0,0,0,608934,1.0,1,2020,2/2/2021 15:44:42,
1159879,Darling Ingredients Inc.,Henderson Blending,392495346.0,305 Priest Street,Henderson,KY,42419,325314, Phosphatic fertilizers made by mixing purchased materials ,14,33455,2,0,0,0,0,0,0,0,0,0,0,0,0,411158,1.0,1,2020,2/2/2021 16:29:09,
1160360,Sasol Chemicals (USA) LLC,"Sasol Chemicals (USA) LLC, Oil City Plant",760083036.0,292 State Route 8,Oil City,PA,16301,325199, Methyl salicylate manufacturing ,34,67762,2,0,0,0,0,0,0,0,0,0,0,0,0,167909,1.0,2,2020,2/2/2021 16:43:19,
1160503,OCI Alabama LLC,OCI Alabama LLC,453135650.0,1455 Red Hat Road,Decatur ,AL,35601,325180," Sodium inorganic compounds, not specified elsewhere by process, manufacturing ",42,115184,1,0,1,1,1,2,65,3,0,0,0,0,0,130081,1.0,2,2020,2/2/2021 16:50:42,
1160729,AGC Electronics America,AGC Electronics America,251059306.0,4375 NE 59th Ave,Hillsboro,OR,97124,325180, Radium chloride manufacturing ,150,351785,1,0,1,1,0,4,45,2,0,0,0,0,0,546581,1.0,2,2020,2/2/2021 17:21:26,
1160810,3V Sigma USA INC,3V Sigma USA INC,510228853.0,888 Woodstock Street,Georgetown,SC,29440,325199, Organo-inorganic compound manufacturing ,157,306478,1,0,5,0,2,55,127,7,0,0,0,0,0,667263,1.0,2,2020,2/2/2021 17:30:46,
